account,S2-2,S1-6,S1-2,S3,PAIa21-1,PTIa41-2,S6,S5,CI3a32-2,S7,label
1255efYAn53zjTt2KViMxm3vufmzVwsdKn,97,0.04753930630917,0.2566154748166911,-0.1943485033577703,1.0,110.94283564814816,7,3.786677959522172,0.0,0.2751196172248804,gambling
123uCzUxsBn3bRhuZjkYMQxMBxTW8bcDNv,68,0.3939433240103808,0.4119873941407447,-0.1328882076090658,1.0,95.75914351851851,5,2.44233944555488,0.0,0.3555555555555555,gambling
bc1q5u3wtzmaw35jrgg8shrd0x7x2cyp8e3anrj982,1,0.5442057368973355,0.5655872190091328,-0.1894459927265772,1.0,6.671400462962962,8,2.941935483870968,0.0,0.3478260869565217,blackmail
18hYGKk8BcreieeJwNqSBsuVCeDXTmmQ91,1536,0.5225975426433376,1.0588690785808403,-0.2371571072206798,1.0,0.0188541666666666,5,2.5522829472668245,0.0,0.3344822183926053,exchange
13NibfakFeSkuruEjMkF6ZbChgphaYehGT,824,0.2791716807493177,0.5941995277896824,-0.1939346109026481,0.18974,0.0049652777777777,6,2.1462373441386897,201.3986013986014,0.382716049382716,blackmail
1BWG2fXTajNR7tfXsV1XASzewkSSBqtCPv,12,0.027138405063766,0.0761616838208419,-0.1078464445445875,0.32422,0.0015625,8,4.382540487180171,0.0389683841921863,0.2826291079812206,tumbler
18HY28mfBxPVqKtA8Ng6qLVqCDMZZsu8zu,2771,0.9229654603709668,0.9237849606325323,-0.3000908137307805,1.0,0.0254629629629629,5,3.0505768301310563,0.0,0.3340438129070456,exchange
114B8ii9KT96NfXjUbCp5WuretrDYiobhb,46,0.0193921104098181,0.2549918274506127,-0.2473985352219777,1.0,19.072951388888885,7,3.6964824750763614,0.0,0.2781954887218045,gambling
13ky7a9AkfYmhtxRuWAQ8fau5QjVAdyFGU,3,0.2071919216932994,0.2336084520002412,-0.1495485907908949,0.0617299999999999,1.0992361111111109,8,3.0659705742762213,0.9097226609387832,0.3214285714285714,blackmail
321X5RXmLNpKDF7LYPNPD6ModdPRupKJ9H,32,0.2594398112907167,0.3294182508293277,-0.1846265117230054,1.0,0.0,6,2.910771940123276,0.0,0.0,darknet market
11DzAdeW2BwxRsraZpRQQbY45msFzL4Sf,85,0.0426109064441845,0.2590590647008504,-0.2469607426366014,1.0,12.047997685185184,7,3.451362971827596,0.0,0.2777777777777778,gambling
115kMVerszvaDpUA3QQvjU24zjLcLcmxsR,157,0.0556056386572588,0.2364587870881118,-0.1733518648556597,1.0,18.410613425925924,7,3.804469488920643,0.0,0.2751196172248804,gambling
32bYqZ2GmPDYZGqk1Ab3VT35tn3RBsgZzR,2909,0.9686025486573682,1.9372286392523268,-0.3263840983333285,1.0,0.0895601851851851,5,2.030102395709782,0.0,0.3334841628959276,darknet market
1KyAvpDvhFowvsMgRy4iB8YnQpGKXwU4g7,10,0.0661498942876841,0.11706990440074,-0.1470436230142047,1.0,0.0050694444444444,8,4.025420619529325,0.0,0.2824956672443674,tumbler
31x7fJCMJa28EVcAB1jV8seLab8eAJuWZb,2941,0.9792181952263344,1.9584466457106904,-0.3287814874889483,1.0,3.764375,5,2.0191834604378154,0.0,0.3334831460674157,darknet market
328EECsXLYaVhc9Xq39ZeP9oEc5SEgwxQz,2139,0.7135665639101584,1.4523795807847346,-0.2872797441649084,1.0,0.0062268518518518,5,2.1218133259964898,0.0,0.3335283791691047,darknet market
125gSs2bkHFkDXB3fpU6PAYqTkgTxJPNq5,29,0.0172608202591008,0.247395611832132,-0.1709527666823362,1.0,85.79851851851852,5,3.4216341239274315,0.0,0.3444444444444444,gambling
32iGiasU8W8QUyVWg5cCHmTQeLHbmpWsNS,2956,0.9841935095531074,1.9687246057102965,-0.3298649260870961,0.0155,0.0019791666666666,5,2.00305465696474,505.2631578947368,0.3335948005378754,darknet market
1211haXc5x1wxqreChZA1V6H9mY8dnffqZ,111,0.0505309025229807,0.2606488640451613,-0.1942650071025492,1.0,36.278043981481474,7,3.765341760672341,0.0,0.2751196172248804,gambling
31niWr5Y4EP8efy7hMrR4pNmZ16fLWxco2,2899,0.9651970096788896,1.9306434180990963,-0.3257679718121858,1.0,0.0807523148148148,5,2.0061731860780245,0.0,0.3334863438145513,darknet market
31z3uYebfEx2Pt7EzMAHUi5pYNyqENbuVX,2973,0.9898460171700572,1.9796968546938667,-0.3311167443067928,1.0,0.5823842592592593,5,2.0080347636894467,0.0,0.3334823424228878,darknet market
bc1q3xu2p9m69v0f2n52ch4d5tvr75526t00hvf54w,1748,0.6095802250279144,0.6164346031153723,-0.2177290550966853,1.0,0.3737384259259259,4,2.3059635790741857,0.0,0.3556709139531225,pool
115q6DqcPbTrsPm5gv7xbuePvezjRLtGUU,277,0.1537166799809043,0.4957991544278089,-0.3034879754172663,1.0,91.47199074074074,5,2.6582568082201625,0.0,0.3355704697986577,gambling
114iyrTbcRQdJrD8iUeFAQbRgM8XNuyFM5,328,0.148870921122522,0.5176958372198806,-0.2869398604643264,1.0,131.19833333333332,5,2.6798680299219284,0.0,0.3353658536585366,gambling
1227AU32baSnqraA7Tx38h4TGtin62fwAM,17,0.0094863610537096,0.2587170305151094,-0.2449471130649761,1.0,27.152465277777782,7,3.8199682287529786,0.0,0.2731092436974789,gambling
13eWVHRW7aS8JdU7DckXpDvD8Lg39yaFP1,480,0.2204330601933414,0.6296584906801429,-0.2406242930335454,3e-05,0.0010416666666666,5,1.997172251970399,960.0,0.5,blackmail
18hXK3RBBjKRscEfi3qGBCVM2eqnahjC6b,88,0.3135622835607899,0.316750450057607,-0.2863447321026126,0.00509,0.0096527777777777,5,2.5435545628589646,103.59712230215828,0.3478260869565217,exchange
12r8QFKrGD1pX7ozxi16bnQq58NFdLzUpF,1233,0.4115346607830772,0.9295197362492164,-0.3040420732223768,0.00273,0.3889583333333333,5,1.999558764519892,1.7129602093618033,0.4666666666666667,blackmail
1KNa9uAuaNTYSwfc5tFCD81w38fvD2nLjQ,2018,0.6731984014576352,0.6768845229655394,-0.2048290694472167,0.0355399999999999,0.0083449074074074,6,2.7809901344222228,0.474639213768932,0.3567467652495379,tumbler
18Hum5j1wpZ6UDqUhuLFNAZ9hW2w2CVni5,478,0.2491275838034369,0.4574661929326477,-0.2698359182321415,0.49031,0.5771180555555555,5,2.6899760819631444,0.0328739478148907,0.3363774733637747,exchange
18HVcDErCSR6m2VehttJYoxj3imU6pQqAJ,307,0.1642363504087048,0.3710979034190783,-0.2595745648049915,0.00218,0.6689236111111111,5,3.062343435935837,1.4949390085647547,0.3348348348348348,exchange
183oLN2miUCzYhquAu7RUm4i1sX5AD5uoY,1303,0.4442669584894009,0.891918553598236,-0.2018866684249301,1.0,0.0763888888888889,6,2.735969508687876,0.0,0.3720930232558139,tumbler
13K332SEysdGVkSC5turTLz9MLekfXmUMy,1791,0.5975291790548491,0.8934996553518019,-0.2904780623537598,0.48723,0.1021527777777777,5,2.0259753925017017,1.370623602011517,0.5,blackmail
18HwhCdfhx7kXSAvX12hQwFC7KxhVWzWC6,44,0.0144932098625941,0.2115594822223445,-0.3009514795464511,0.00105,0.0020601851851851,3,1.807774227902024,485.3932584269663,0.7444444444444445,exchange
bc1q3gf57vpn2lawpkcvghgc584gxsddtp8vnu8f7n,327,0.1864265724515891,0.3099893355935941,-0.2345595385406612,1.0,0.1229166666666666,5,2.06028355435001,0.0,0.3558282208588957,pool
31oc7Qtj4axHN2cWK5gBpMcCNCFeY4sUgj,2934,0.9768616695182544,1.9537896185098824,-0.3282603651642948,1.0,1.4957870370370367,5,2.013185328823241,0.0,0.3334841117267895,darknet market
18Hu8bzTeyguy9R2Y2Z7QsXHAskqrkYGsx,1890,0.6344086221307731,0.6598549802987286,-0.2296679707054619,0.14363,1.4379282407407408,5,2.4501706996480146,0.085699237336301,0.337465564738292,exchange
